,summary,Freizeit,Klima,Emotion,Wohnen,Soziales,Infrastruktur,word
kostenlos,2.694778690508207,0.31125345235665,-0.2062964137185577,-0.14790457810160942,-0.27105542309271885,-0.03972389566050394,-0.018288121055151867,kostenlos
hier kostenlos,2.694778690508207,0.31125345235665,-0.2062964137185577,-0.14790457810160942,-0.27105542309271885,-0.03972389566050394,-0.018288121055151867,hier kostenlos
HVV,3.7945978443510997,0.6209238320777011,-0.5485587666437723,-0.49016693102682424,-0.6133177760179338,-0.3819862485857188,-0.36055047398036677,HVV
kostenlos hvv,2.8401753782622854,0.37339301168367,-0.2588461344550779,-0.20045429883812985,-0.32360514382923933,-0.09227361639702422,-0.07083784179167238,kostenlos hvv
hvv nutz,2.9094373215472333,0.3996285174719203,-0.2829400334731829,-0.22454819785623473,-0.34769904284734426,-0.11636751541512905,-0.0949317408097772,hvv nutz
nutz weihnachtsmarkt,3.6864560333392435,0.6015967642787541,-0.5196459032592724,-0.4612540676423243,-0.5844049126334337,-0.3530733852012188,-0.33163761059586677,nutz weihnachtsmarkt
Wochenendeinkauf,2.754608265028345,0.3380906723093044,-0.22825557322185827,-0.16986373760491028,-0.29301458259601965,-0.06168305516380471,-0.04024728055845271,Wochenendeinkauf
weihnachtsmarkt wochenendeinkauf,2.754608265028345,0.3380906723093044,-0.22825557322185827,-0.16986373760491028,-0.29301458259601965,-0.06168305516380471,-0.04024728055845271,weihnachtsmarkt wochenendeinkauf
bestimmten,2.6145254011013166,0.272054336595422,-0.1760629213501066,-0.11767108573315856,-0.240821930724268,-0.009490403292052876,0.011945371313299012,bestimmten
wochenendeinkauf bestimmt,2.6145254011013166,0.272054336595422,-0.1760629213501066,-0.11767108573315856,-0.240821930724268,-0.009490403292052876,0.011945371313299012,wochenendeinkauf bestimmt
bestimmt region,2.5715373582698056,0.2493582899686412,-0.15948424521913176,-0.10109240960218356,-0.22424325459329292,0.007088272838922162,0.028524047444274062,bestimmt region
region biet,2.5440224843484844,0.23414302717969923,-0.14872681490545686,-0.09033497928850866,-0.21348582427961815,0.01784570315259691,0.03928147775794886,region biet
Hamburger,3.9147645965971947,0.1301174511273999,0.6174051267652563,-0.5213436947142709,-0.6444945397053804,-0.41316301227316526,-0.39172723766781314,Hamburger
biet hamburger,2.516702471420881,0.21846607278247537,-0.13792983282561505,-0.07953799720866686,-0.2026888421997764,0.028642685232438823,0.05007845983779067,biet hamburger
Verkehrsverbund,2.894452435284104,0.39411614067681555,-0.27777628288943207,-0.21938444727248402,-0.34253529226359347,-0.11120376483137835,-0.08976799022602636,Verkehrsverbund
hamburger verkehrsverbund,2.894452435284104,0.39411614067681555,-0.27777628288943207,-0.21938444727248402,-0.34253529226359347,-0.11120376483137835,-0.08976799022602636,hamburger verkehrsverbund
verkehrsverbund hvv,3.17870102382738,0.4857569925321825,-0.3714529615463376,-0.31306112592938956,-0.43621197092049896,-0.20488044348828394,-0.18344466888293193,verkehrsverbund hvv
Vorweihnachtszeit,2.4517521000216735,0.1787084757901205,-0.11178324310915536,-0.05339140749220724,-0.1765422524833167,0.0547892749488982,0.07622504955425029,Vorweihnachtszeit
hvv vorweihnachtszeit,2.4517521000216735,0.1787084757901205,-0.11178324310915536,-0.05339140749220724,-0.1765422524833167,0.0547892749488982,0.07622504955425029,hvv vorweihnachtszeit
kostenlose,2.4568951287463325,0.1819928388908011,-0.11387874126452713,-0.05548690564757911,-0.17863775063868845,0.05269377679352665,0.0741295513988785,kostenlose
vorweihnachtszeit kostenlos,2.4568951287463325,0.1819928388908011,-0.11387874126452713,-0.05548690564757911,-0.17863775063868845,0.05269377679352665,0.0741295513988785,vorweihnachtszeit kostenlos
Fahrten,2.4724917556499575,0.19180487656658843,-0.12020678136988944,-0.06181494575294126,-0.18496579074405067,0.046365736688164204,0.06780151129351637,Fahrten
kostenlos fahrt,2.4724917556499575,0.19180487656658843,-0.12020678136988944,-0.06181494575294126,-0.18496579074405067,0.046365736688164204,0.06780151129351637,kostenlos fahrt
Ahrensburg,2.7736776261370433,0.34625716807392853,-0.23515443377891349,-0.17676259816196535,-0.2999134431530749,-0.06858191572085974,-0.04714614111550779,Ahrensburg
ahrensburg gelt,2.521251474223438,0.22111722471011733,-0.13973572628471548,-0.08134389066776725,-0.20449473565887677,0.026836791773338323,0.04827256637869026,ahrensburg gelt
gelt angebot,2.5440224843484844,0.23414302717969923,-0.14872681490545686,-0.09033497928850866,-0.21348582427961815,0.01784570315259691,0.03928147775794886,gelt angebot
angebot sogar,2.568194077101698,0.24753912056759084,-0.15818328944675916,-0.09979145382981099,-0.2229422988209204,0.008389228611294604,0.02982500321664657,angebot sogar
Silvester,2.6015165698269307,0.2653191488175381,-0.17107490234301845,-0.11268306672607041,-0.2358339117171797,-0.004502384284964712,0.016933390320387334,Silvester
sogar silvester,2.6015165698269307,0.2653191488175381,-0.17107490234301845,-0.11268306672607041,-0.2358339117171797,-0.004502384284964712,0.016933390320387334,sogar silvester
stressige,2.6876119609552513,0.3079084014173895,-0.20363338375569856,-0.14524154813875023,-0.26839239312985963,-0.03706086569764466,-0.015625091092292646,stressige
ohne stressig,2.6876119609552513,0.3079084014173895,-0.20363338375569856,-0.14524154813875023,-0.26839239312985963,-0.03706086569764466,-0.015625091092292646,ohne stressig
Parkplatzsuche,2.7757186952404544,0.3471207072576905,-0.2358900342216445,-0.17749819860469643,-0.3006490435958059,-0.06931751616359091,-0.04788174155823891,Parkplatzsuche
stressig parkplatzsuch,2.7757186952404544,0.3471207072576905,-0.2358900342216445,-0.17749819860469643,-0.3006490435958059,-0.06931751616359091,-0.04788174155823891,stressig parkplatzsuch
parkplatzsuch weihnachtsmarkt,3.6864560333392435,0.6015967642787541,-0.5196459032592724,-0.4612540676423243,-0.5844049126334337,-0.3530733852012188,-0.33163761059586677,parkplatzsuch weihnachtsmarkt
Geschenke-Shopping,2.754608265028345,0.3380906723093044,-0.22825557322185827,-0.16986373760491028,-0.29301458259601965,-0.06168305516380471,-0.04024728055845271,Geschenke-Shopping
weihnachtsmarkt geschenke-shopping,2.754608265028345,0.3380906723093044,-0.22825557322185827,-0.16986373760491028,-0.29301458259601965,-0.06168305516380471,-0.04024728055845271,weihnachtsmarkt geschenke-shopping
der hamburger,2.6015165698269307,0.2653191488175381,-0.17107490234301845,-0.11268306672607041,-0.2358339117171797,-0.004502384284964712,0.016933390320387334,der hamburger
hvv biet,2.5080803402033482,0.21339518215888378,-0.13449798711085342,-0.07610615149390526,-0.1992569964850147,0.03207453094720035,0.0535103055525523,hvv biet
Kaltenkirchen,2.488909894739074,0.20189989312327863,-0.1268251526190206,-0.06843331700207234,-0.1915841619931819,0.03974736543903327,0.06118314004438521,Kaltenkirchen
biet kaltenkirche,2.488909894739074,0.20189989312327863,-0.1268251526190206,-0.06843331700207234,-0.1915841619931819,0.03974736543903327,0.06118314004438521,biet kaltenkirche
Mölln,2.465118503571331,0.1871937353732064,-0.11722021208958168,-0.058828376472633476,-0.18197922146374293,0.049352305968472114,0.07078808057382396,Mölln
kaltenkirche mölln,2.465118503571331,0.1871937353732064,-0.11722021208958168,-0.058828376472633476,-0.18197922146374293,0.049352305968472114,0.07078808057382396,kaltenkirche mölln
Bad,2.4555851823418835,0.18115862881317277,-0.11334542760114598,-0.05495359198419768,-0.17810443697530726,0.053227090456907905,0.07466286506225987,Bad
mölln bad,2.4555851823418835,0.18115862881317277,-0.11334542760114598,-0.05495359198419768,-0.17810443697530726,0.053227090456907905,0.07466286506225987,mölln bad
Segeberg,2.450505559715817,0.17790872163446486,-0.11127468545297155,-0.05288284983602344,-0.17603369482713277,0.05529783260508219,0.07673360721043403,Segeberg
bad segeberg,2.450505559715817,0.17790872163446486,-0.11127468545297155,-0.05288284983602344,-0.17603369482713277,0.05529783260508219,0.07673360721043403,bad segeberg
segeberg ahrensburg,2.4355680960033244,0.16821074383214926,-0.1051603649161546,-0.04676852929920643,-0.16991937429031592,0.06141215314189915,0.08284792774725114,segeberg ahrensburg
ahrensburg vier,2.416327823634838,0.15539918452919677,-0.09722929073762338,-0.038837455120675095,-0.16198830011178456,0.0693432273204304,0.09077900192578242,ahrensburg vier
Advent…,2.4120841567426736,0.15252344759007927,-0.09547150039077908,-0.03707966477383088,-0.16023050976494038,0.07110101766727467,0.09253679227262661,Advent…
vier advent…,2.4120841567426736,0.15252344759007927,-0.09547150039077908,-0.03707966477383088,-0.16023050976494038,0.07110101766727467,0.09253679227262661,vier advent…
+559,2.404919980811736,0.14762659706399012,-0.09249696227178696,-0.03410512665483884,-0.15725597164594823,0.07407555578626682,0.0955113303916188,+559
advent… +559,2.404919980811736,0.14762659706399012,-0.09249696227178696,-0.03410512665483884,-0.15725597164594823,0.07407555578626682,0.0955113303916188,advent… +559
+559 chars,2.401179412047273,0.14504861705161232,-0.0909403696115113,-0.032548533994563145,-0.15569937898567243,0.07563214844654248,0.0970679230518945,+559 chars
Schneegestöber,3.819257139133872,-0.6606703769215184,1.0575364187258358,-0.49664443317455215,-0.6197952781656616,-0.38846375073344663,-0.3670279761280946,Schneegestöber
wintereinbruch schneegestöber,2.957665379726812,-0.4050146734743769,0.7842649760692215,-0.24098872972741073,-0.3641395747185201,-0.13280804728630513,-0.11137227268095319,wintereinbruch schneegestöber
schneegestöber berlin,2.939428836740362,-0.3988297286688987,0.7755848645371798,-0.23480378492193235,-0.35795462991304183,-0.12662310248082684,-0.10518732787547494,schneegestöber berlin
lockt,2.894138303680613,-0.38330185627655156,0.7532102411387596,-0.2192759125295853,-0.34242675752069474,-0.11109523008847978,-0.08965945548312781,lockt
berlin lock,2.894138303680613,-0.38330185627655156,0.7532102411387596,-0.2192759125295853,-0.34242675752069474,-0.11109523008847978,-0.08965945548312781,berlin lock
Spaziergänger,3.310196413088182,-0.5176219663393888,0.9225965438261803,-0.35359602259242245,-0.4767468675835318,-0.2454153401513169,-0.22397956554596504,Spaziergänger
lock spaziergänger,2.862460443631468,-0.3722959893755345,0.7368251690639215,-0.2082700456285682,-0.3314208906196778,-0.10008936318746273,-0.07865358858211073,lock spaziergänger
Parks,2.795005085845365,-0.34844836563743603,0.6997194396864485,-0.1844224218904699,-0.3075732668815792,-0.07624173944936427,-0.054805964844012324,Parks
spaziergänger park,2.795005085845365,-0.34844836563743603,0.6997194396864485,-0.1844224218904699,-0.3075732668815792,-0.07624173944936427,-0.054805964844012324,spaziergänger park
park weihnachtsmärkt,2.5623258019636697,-0.2615298018416643,0.5422818592124498,-0.09750385809469793,-0.22065470308580737,0.010676824346407677,0.032112598951759545,park weihnachtsmärkt
Bundeshauptstadt,2.517042455907002,-0.24369902308297425,0.5047375632051138,-0.07967307933600795,-0.20282392432711743,0.02850760310509769,0.04994337771044959,Bundeshauptstadt
weihnachtsmärkt bundeshauptstadt,2.517042455907002,-0.24369902308297425,0.5047375632051138,-0.07967307933600795,-0.20282392432711743,0.02850760310509769,0.04994337771044959,weihnachtsmärkt bundeshauptstadt
lockte,2.4927872778815514,-0.23401591254503665,0.48344873247420755,-0.06998996879807044,-0.19314081378917983,0.038190713643035244,0.05962648824838712,lockte
